country_name;country_code;continent;sub_region
Afghanistan;AFG;Asia;Southern Asia
Albania;ALB;Europe;Southern Europe
Algeria;DZA;Africa;Northern Africa
Andorra;AND;Europe;Southern Europe
Angola;AGO;Africa;Sub-Saharan Africa
Argentina;ARG;Americas;Latin America and the Caribbean
Armenia;ARM;Asia;Western Asia
Australia;AUS;Oceania;Australia and New Zealand
Austria;AUT;Europe;Western Europe
Azerbaijan;AZE;Asia;Western Asia
Bahamas, The;BHS;Americas;Latin America and the Caribbean
Bahrain;BHR;Asia;Western Asia
Bangladesh;BGD;Asia;Southern Asia
Barbados;BRB;Americas;Latin America and the Caribbean
Belarus;BLR;Europe;Eastern Europe
Belgium;BEL;Europe;Western Europe
Belize;BLZ;Americas;Latin America and the Caribbean
Benin;BEN;Africa;Sub-Saharan Africa
Bermuda;BMU;Americas;Northern America
Bhutan;BTN;Asia;Southern Asia
Bolivia;BOL;Americas;Latin America and the Caribbean
Bosnia and Herzegovina;BIH;Europe;Southern Europe
Botswana;BWA;Africa;Sub-Saharan Africa
Brazil;BRA;Americas;Latin America and the Caribbean
Brunei Darussalam;BRN;Asia;South-eastern Asia
Bulgaria;BGR;Europe;Eastern Europe
Burkina Faso;BFA;Africa;Sub-Saharan Africa
Burundi;BDI;Africa;Sub-Saharan Africa
Cabo Verde;CPV;Africa;Sub-Saharan Africa
Cambodia;KHM;Asia;South-eastern Asia
Cameroon;CMR;Africa;Sub-Saharan Africa
Canada;CAN;Americas;Northern America
Central African Republic;CAF;Africa;Sub-Saharan Africa
Chad;TCD;Africa;Sub-Saharan Africa
Chile;CHL;Americas;Latin America and the Caribbean
China;CHN;Asia;Eastern Asia
Colombia;COL;Americas;Latin America and the Caribbean
Comoros;COM;Africa;Sub-Saharan Africa
Congo, Dem. Rep.;COD;Africa;Sub-Saharan Africa
Congo, Rep.;COG;Africa;Sub-Saharan Africa
Costa Rica;CRI;Americas;Latin America and the Caribbean
Cote d'Ivoire;CIV;Africa;Sub-Saharan Africa
Croatia;HRV;Europe;Southern Europe
Cuba;CUB;Americas;Latin America and the Caribbean
Cyprus;CYP;Asia;Western Asia
Czech Republic;CZE;Europe;Eastern Europe
Denmark;DNK;Europe;Northern Europe
Djibouti;DJI;Africa;Sub-Saharan Africa
Dominica;DMA;Americas;Latin America and the Caribbean
Dominican Republic;DOM;Americas;Latin America and the Caribbean
Ecuador;ECU;Americas;Latin America and the Caribbean
